"GTFS.Stop.ID","Station.ID","Line","Stop.Name","Borough","GTFS.Latitude","GTFS.Longitude","Georeference"
"J30",95,"Jamaica","Gates Av","Bk",40.68963,-73.92227,"POINT (-73.92227 40.68963)"
"F20",236,"6th Av - Culver","Bergen St","Bk",40.686145,-73.990862,"POINT (-73.990862 40.686145)"
"A48",181,"8th Av - Fulton St","Utica Av","Bk",40.679364,-73.930729,"POINT (-73.930729 40.679364)"
"231",334,"Clark St","Clark St","Bk",40.697466,-73.993086,"POINT (-73.993086 40.697466)"
"A54",187,"8th Av - Fulton St","Shepherd Av","Bk",40.67413,-73.88075,"POINT (-73.88075 40.67413)"
"R41",35,"4th Av","59 St","Bk",40.641362,-74.017881,"POINT (-74.017881 40.641362)"
"D32",48,"Broadway - Brighton","Avenue H","Bk",40.62927,-73.961639,"POINT (-73.961639 40.62927)"
"F30",245,"6th Av - Culver","18 Av","Bk",40.629755,-73.976971,"POINT (-73.976971 40.629755)"
"G31",287,"Crosstown","Flushing Av","Bk",40.700377,-73.950234,"POINT (-73.950234 40.700377)"
"B16",63,"West End","62 St","Bk",40.626472,-73.996895,"POINT (-73.996895 40.626472)"
"251",346,"Eastern Pky","Sutter Av-Rutland Rd","Bk",40.664717,-73.92261,"POINT (-73.92261 40.664717)"
"L12",123,"Canarsie","Grand St","Bk",40.711926,-73.94067,"POINT (-73.94067 40.711926)"
"256",351,"Eastern Pky","Van Siclen Av","Bk",40.665449,-73.889395,"POINT (-73.889395 40.665449)"
"S04",142,"Franklin Shuttle","Botanic Garden","Bk",40.670343,-73.959245,"POINT (-73.959245 40.670343)"
"236",339,"Eastern Pky","Bergen St","Bk",40.680829,-73.975098,"POINT (-73.975098 40.680829)"
"M08",112,"Myrtle Av","Myrtle-Wyckoff Avs","Bk",40.69943,-73.912385,"POINT (-73.912385 40.69943)"
"F24",240,"6th Av - Culver","7 Av","Bk",40.666271,-73.980305,"POINT (-73.980305 40.666271)"
"244",356,"Nostrand","Church Av","Bk",40.650843,-73.949575,"POINT (-73.949575 40.650843)"
"J24",91,"Jamaica","Alabama Av","Bk",40.676992,-73.898654,"POINT (-73.898654 40.676992)"
"L21",131,"Canarsie","Bushwick Av-Aberdeen St","Bk",40.682829,-73.905249,"POINT (-73.905249 40.682829)"
"R32",28,"4th Av","Union St","Bk",40.677316,-73.98311,"POINT (-73.98311 40.677316)"
"L27",136,"Canarsie","New Lots Av","Bk",40.658733,-73.899232,"POINT (-73.899232 40.658733)"
"F36",251,"6th Av - Culver","Avenue U","Bk",40.596063,-73.973357,"POINT (-73.973357 40.596063)"
"B20",67,"West End","20 Av","Bk",40.604556,-73.998168,"POINT (-73.998168 40.604556)"
"B13",60,"West End","Fort Hamilton Pkwy","Bk",40.640914,-73.994304,"POINT (-73.994304 40.640914)"
"F25",241,"6th Av - Culver","15 St-Prospect Park","Bk",40.660365,-73.979493,"POINT (-73.979493 40.660365)"
"G26",283,"Crosstown","Greenpoint Av","Bk",40.731352,-73.954449,"POINT (-73.954449 40.731352)"
"D40",55,"Broadway - Brighton","Brighton Beach","Bk",40.577621,-73.961376,"POINT (-73.961376 40.577621)"
"J20",87,"Jamaica","Crescent St","Bk",40.683194,-73.873785,"POINT (-73.873785 40.683194)"
"D27",43,"Broadway - Brighton","Parkside Av","Bk",40.655292,-73.961495,"POINT (-73.961495 40.655292)"
"248",343,"Eastern Pky","Nostrand Av","Bk",40.669847,-73.950466,"POINT (-73.950466 40.669847)"
"R44",38,"4th Av","86 St","Bk",40.622687,-74.028398,"POINT (-74.028398 40.622687)"
"A44",177,"8th Av - Fulton St","Clinton-Washington Avs","Bk",40.683263,-73.965838,"POINT (-73.965838 40.683263)"
"A49",182,"8th Av - Fulton St","Ralph Av","Bk",40.678822,-73.920786,"POINT (-73.920786 40.678822)"
"B23",70,"West End","Bay 50 St","Bk",40.588841,-73.983765,"POINT (-73.983765 40.588841)"
"J27",92,"Jamaica","Broadway Junction","Bk",40.679498,-73.904512,"POINT (-73.904512 40.679498)"
"L17",128,"Canarsie","Myrtle-Wyckoff Avs","Bk",40.699814,-73.911586,"POINT (-73.911586 40.699814)"
"M13",99,"Jamaica","Lorimer St","Bk",40.703869,-73.947408,"POINT (-73.947408 40.703869)"
"A42",175,"8th Av - Fulton St","Hoyt-Schermerhorn Sts","Bk",40.688484,-73.985001,"POINT (-73.985001 40.688484)"
"N06",75,"Sea Beach","20 Av","Bk",40.61741,-73.985026,"POINT (-73.985026 40.61741)"
"G35",291,"Crosstown","Clinton-Washington Avs","Bk",40.688089,-73.966839,"POINT (-73.966839 40.688089)"
"J29",94,"Jamaica","Halsey St","Bk",40.68637,-73.916559,"POINT (-73.916559 40.68637)"
"N10",79,"Sea Beach","86 St","Bk",40.592721,-73.97823,"POINT (-73.97823 40.592721)"
"252",347,"Eastern Pky","Saratoga Av","Bk",40.661453,-73.916327,"POINT (-73.916327 40.661453)"
"232",335,"Clark St","Borough Hall","Bk",40.693219,-73.989998,"POINT (-73.989998 40.693219)"
"L13",124,"Canarsie","Montrose Av","Bk",40.707739,-73.93985,"POINT (-73.93985 40.707739)"
"257",352,"Eastern Pky","New Lots Av","Bk",40.666235,-73.884079,"POINT (-73.884079 40.666235)"
"G32",288,"Crosstown","Myrtle-Willoughby Avs","Bk",40.694568,-73.949046,"POINT (-73.949046 40.694568)"
"A53",186,"8th Av - Fulton St","Van Siclen Av","Bk",40.67271,-73.890358,"POINT (-73.890358 40.67271)"
"R34",30,"4th Av","Prospect Av","Bk",40.665414,-73.992872,"POINT (-73.992872 40.665414)"
"S03",141,"Franklin Shuttle","Park Pl","Bk",40.674772,-73.957624,"POINT (-73.957624 40.674772)"
"D31",47,"Broadway - Brighton","Newkirk Plaza","Bk",40.635082,-73.962793,"POINT (-73.962793 40.635082)"
"F18",235,"6th Av - Culver","York St","Bk",40.701397,-73.986751,"POINT (-73.986751 40.701397)"
"F31",246,"6th Av - Culver","Avenue I","Bk",40.625322,-73.976127,"POINT (-73.976127 40.625322)"
"B15",62,"West End","55 St","Bk",40.631435,-73.995476,"POINT (-73.995476 40.631435)"
"N07",76,"Sea Beach","Bay Pkwy","Bk",40.611815,-73.981848,"POINT (-73.981848 40.611815)"
"B14",61,"West End","50 St","Bk",40.63626,-73.994791,"POINT (-73.994791 40.63626)"
"R45",39,"4th Av","Bay Ridge-95 St","Bk",40.616622,-74.030876,"POINT (-74.030876 40.616622)"
"G28",284,"Crosstown","Nassau Av","Bk",40.724635,-73.951277,"POINT (-73.951277 40.724635)"
"R40",34,"4th Av","53 St","Bk",40.645069,-74.014034,"POINT (-74.014034 40.645069)"
"A50",183,"8th Av - Fulton St","Rockaway Av","Bk",40.67834,-73.911946,"POINT (-73.911946 40.67834)"
"D35",51,"Broadway - Brighton","Kings Hwy","Bk",40.60867,-73.957734,"POINT (-73.957734 40.60867)"
"243",355,"Nostrand","Winthrop St","Bk",40.656652,-73.9502,"POINT (-73.9502 40.656652)"
"F23",239,"6th Av - Culver","4 Av-9 St","Bk",40.670272,-73.989779,"POINT (-73.989779 40.670272)"
"F26",242,"6th Av - Culver","Fort Hamilton Pkwy","Bk",40.650782,-73.975776,"POINT (-73.975776 40.650782)"
"F38",252,"6th Av - Culver","Avenue X","Bk",40.58962,-73.97425,"POINT (-73.97425 40.58962)"
"L16",127,"Canarsie","DeKalb Av","Bk",40.703811,-73.918425,"POINT (-73.918425 40.703811)"
"L28",137,"Canarsie","East 105 St","Bk",40.650573,-73.899485,"POINT (-73.899485 40.650573)"
"B19",66,"West End","18 Av","Bk",40.607954,-74.001736,"POINT (-74.001736 40.607954)"
"R33",29,"4th Av","4 Av-9 St","Bk",40.670847,-73.988302,"POINT (-73.988302 40.670847)"
"239",342,"Eastern Pky","Franklin Av-Medgar Evers College","Bk",40.670682,-73.958131,"POINT (-73.958131 40.670682)"
"D28",44,"Broadway - Brighton","Church Av","Bk",40.650527,-73.962982,"POINT (-73.962982 40.650527)"
"R28",24,"Broadway","Court St","Bk",40.6941,-73.991777,"POINT (-73.991777 40.6941)"
"J28",93,"Jamaica","Chauncey St","Bk",40.682893,-73.910456,"POINT (-73.910456 40.682893)"
"D41",56,"Broadway - Brighton","Ocean Pkwy","Bk",40.576312,-73.968501,"POINT (-73.968501 40.576312)"
"J21",88,"Jamaica","Norwood Av","Bk",40.68141,-73.880039,"POINT (-73.880039 40.68141)"
"L22",132,"Canarsie","Broadway Junction","Bk",40.678856,-73.90324,"POINT (-73.90324 40.678856)"
"A45",178,"8th Av - Fulton St","Franklin Av","Bk",40.68138,-73.956848,"POINT (-73.956848 40.68138)"
"N02",71,"Sea Beach","8 Av","Bk",40.635064,-74.011719,"POINT (-74.011719 40.635064)"
"235",338,"Eastern Pky","Atlantic Av-Barclays Ctr","Bk",40.684359,-73.977666,"POINT (-73.977666 40.684359)"
"247",359,"Nostrand","Flatbush Av-Brooklyn College","Bk",40.632836,-73.947642,"POINT (-73.947642 40.632836)"
"M12",98,"Jamaica","Flushing Av","Bk",40.70026,-73.941126,"POINT (-73.941126 40.70026)"
"L08",120,"Canarsie","Bedford Av","Bk",40.717304,-73.956872,"POINT (-73.956872 40.717304)"
"253",348,"Eastern Pky","Rockaway Av","Bk",40.662549,-73.908946,"POINT (-73.908946 40.662549)"
