,ZIPCODE,TOTAL_POP_5PCT,POP_16_OVER_5PCT,COMMUTERS_BY_PUBLIC_TRANSPORTATION_5PCT
0,11201,65964,55877,25509
1,11203,79224,64388,21625
2,11204,80827,59956,16998
3,11205,48367,36464,13207
4,11206,92766,69407,25457
5,11207,96571,75815,26667
6,11208,103593,78365,27233
7,11209,71199,59248,20393
8,11210,70392,53811,17466
9,11211,107755,82774,33888
10,11212,80353,64569,18768
11,11213,69610,55420,19622
12,11214,97593,78914,25961
13,11215,73664,59278,28929
14,11216,59123,51134,23691
15,11217,43477,36287,17221
16,11218,78233,58060,21236
17,11219,94538,63232,13505
18,11220,100425,78579,27630
19,11221,88027,72323,29086
20,11222,38317,34361,15911
21,11223,85878,66826,19860
22,11224,49042,40417,9642
23,11225,61826,51801,23645
24,11226,105291,83917,36556
25,11228,47244,38678,9971
26,11229,87796,71061,19977
27,11230,93529,70040,18900
28,11231,39737,31371,12832
29,11232,28982,23381,9678
30,11233,80660,62753,24436
31,11234,100449,80581,19949
32,11235,82034,68382,17655
33,11236,105348,84523,27605
34,11237,51776,42088,18830
35,11238,57267,49078,23826
36,11239,13906,11443,2862
