,ZIPCODE,TOTAL_POP_25PCT,POP_16_OVER_25PCT,COMMUTERS_BY_PUBLIC_TRANSPORTATION_25PCT
0,11201,78529,66520,30368
1,11203,94314,76653,25744
2,11204,96223,71376,20236
3,11205,57580,43410,15723
4,11206,110436,82628,30306
5,11207,114965,90256,31746
6,11208,123325,93291,32420
7,11209,84761,70534,24278
8,11210,83800,64061,20793
9,11211,128280,98540,40343
10,11212,95659,76868,22343
11,11213,82869,65976,23360
12,11214,116183,93945,30906
13,11215,87695,70569,34439
14,11216,70385,60874,28204
15,11217,51759,43199,20501
16,11218,93135,69119,25281
17,11219,112545,75276,16078
18,11220,119554,93546,32893
19,11221,104794,86099,34626
20,11222,45615,40906,18941
21,11223,102236,79555,23643
22,11224,58384,48115,11479
23,11225,73603,61668,28149
24,11226,125346,99901,43519
25,11228,56243,46045,11870
26,11229,104519,84596,23783
27,11230,111344,83381,22500
28,11231,47306,37346,15276
29,11232,34503,27835,11521
30,11233,96024,74706,29090
31,11234,119583,95930,23749
32,11235,97660,81408,21018
33,11236,125414,100623,32863
34,11237,61638,50105,22416
35,11238,68175,58426,28364
36,11239,16555,13623,3408
