,ZIPCODE,TOTAL_POP_15PCT,POP_16_OVER_15PCT,COMMUTERS_BY_PUBLIC_TRANSPORTATION_15PCT
0,11201,72246,61198,27938
1,11203,86769,70520,23684
2,11204,88525,65666,18617
3,11205,52974,39937,14465
4,11206,101601,76017,27882
5,11207,105768,83036,29207
6,11208,113459,85828,29826
7,11209,77980,64891,22335
8,11210,77096,58936,19129
9,11211,118018,90657,37115
10,11212,88006,70718,20555
11,11213,76239,60698,21491
12,11214,106888,86429,28434
13,11215,80679,64923,31684
14,11216,64754,56004,25947
15,11217,47618,39743,18861
16,11218,85684,63589,23259
17,11219,103541,69254,14791
18,11220,109989,86063,30261
19,11221,96410,79211,31856
20,11222,41966,37634,17426
21,11223,94057,73191,21751
22,11224,53713,44266,10560
23,11225,67714,56734,25897
24,11226,115319,91909,40037
25,11228,51743,42361,10920
26,11229,96157,77829,21880
27,11230,102436,76711,20700
28,11231,43522,34359,14054
29,11232,31742,25608,10600
30,11233,88342,68730,26763
31,11234,110016,88256,21849
32,11235,89847,74895,19336
33,11236,115381,92573,30234
34,11237,56707,46097,20623
35,11238,62721,53752,26095
36,11239,15231,12533,3135
